stage_number,stage_name,DD,totalDD,LCT,UCT,moult,depth
1,Eggs,248.39,248.39,12,34,0,outer
2,1st Instars,66.28119837,314.6711984,11.10110598,40,0,outer
3,2nd Instars,92.77437772,407.4455761,11.74651747,30,0,outer
4,3rd Instars,119.3613658,526.8069419,13.06386342,30,0,outer
5,4th Instars,243.8792105,770.6861524,8.741385965,30,0,inner
6,5th Instars,282.9555731,1053.641725,9.520163959,30,0,inner
7,6th Instars,300.7014085,1354.343134,11.33175416,30,0.002695418,inner
8,7th Intstars,374.3990493,1728.742183,11.54447085,30,0.078167116,inner
9,8th Instars,418.6082951,2147.350478,11.01506557,30,0.283018868,inner
10,9th Instars,410.1326389,2557.483117,9.809902263,30,0.544474394,inner
11,10th Instars,1081.758056,3639.241173,-3.46731725,30,0.684636119,inner
12,11th Instars,251.0425685,3890.283742,18.21506572,30,0.916442049,inner
13,Pupae,262.8638645,4153.147606,9.779702734,30,1,outer
14,Sclerotizing Adults,124.2,4277.347606,-1.2,30,1,outer
15,Emerging Adults,132.4,4409.747606,-6.5,30,1,outer